subject,TR,experiment,Model,Manufacturer
VUIISXNAT04_S17737,3.0,VUIISXNAT04_E232691,DISCOVERY_MR750w,GE
VUIISXNAT04_S17503,3.0,VUIISXNAT04_E232084,DISCOVERY_MR750,GE
VUIISXNAT04_S17503,3.0,VUIISXNAT04_E232413,DISCOVERY_MR750,GE
VUIISXNAT04_S17452,3.0,VUIISXNAT04_E232716,Prisma_fit,Siemens
VUIISXNAT04_S17452,3.0,VUIISXNAT04_E232014,Prisma_fit,Siemens
VUIISXNAT04_S17205,3.0,VUIISXNAT04_E232385,Prisma,Siemens
VUIISXNAT04_S17205,3.0,VUIISXNAT04_E231682,Prisma,Siemens
VUIISXNAT04_S17205,3.0,VUIISXNAT04_E231802,Prisma,Siemens
VUIISXNAT04_S17682,0.607,VUIISXNAT04_E232543,Prisma,Siemens
VUIISXNAT04_S17076,3.0,VUIISXNAT04_E232129,Achieva,Philips
VUIISXNAT04_S17076,3.0,VUIISXNAT04_E231095,Achieva,Philips
VUIISXNAT04_S17076,3.0,VUIISXNAT04_E231403,Achieva,Philips
VUIISXNAT04_S17076,3.0,VUIISXNAT04_E230986,Achieva,Philips
VUIISXNAT04_S17076,3.0,VUIISXNAT04_E231550,Achieva,Philips
VUIISXNAT04_S17076,3.0,VUIISXNAT04_E231844,Achieva,Philips
VUIISXNAT04_S17076,3.0,VUIISXNAT04_E231292,Achieva,Philips
VUIISXNAT04_S17334,3.0,VUIISXNAT04_E231876,Prisma,Siemens
VUIISXNAT04_S17186,3.0,VUIISXNAT04_E231577,Achieva,Philips
VUIISXNAT04_S17186,3.0,VUIISXNAT04_E231648,Achieva,Philips
VUIISXNAT04_S17186,3.0,VUIISXNAT04_E231887,Achieva,Philips
VUIISXNAT04_S17746,3.0,VUIISXNAT04_E232748,DISCOVERY_MR750,GE
VUIISXNAT04_S17025,3.0,VUIISXNAT04_E231361,Ingenuity,Philips
VUIISXNAT04_S17025,3.0,VUIISXNAT04_E231229,GEMINI,Philips
VUIISXNAT04_S17025,3.0,VUIISXNAT04_E230935,GEMINI,Philips
VUIISXNAT04_S17025,3.0,VUIISXNAT04_E231121,GEMINI,Philips
